rownumber,activity_year,loan_type,action_taken_type,state,county,msa,respondentID,agency_code,nLenders,nLoans,amtLoans,nLoansToSmallest,amtLoansToSmallest
20635,2015,4,1,24.0,510.0,12580.0,23248,1,,55,425000,0,0
20636,2015,4,1,24.0,510.0,12580.0,16820,3,,6,1858000,0,0
20637,2015,4,1,24.0,510.0,12580.0,1161029,2,,4,918000,0,0
20638,2015,4,1,24.0,510.0,12580.0,27244,3,,22,7891000,10,4730000
20639,2015,4,1,24.0,510.0,12580.0,7745,1,,1,25000,1,25000
20640,2015,4,1,24.0,510.0,12580.0,58457,3,,1,195000,0,0
20641,2015,4,1,24.0,510.0,12580.0,23920,1,,3,383000,0,0
20642,2015,4,1,24.0,510.0,12580.0,90290,3,,1,525000,0,0
20643,2015,4,1,24.0,510.0,12580.0,24,1,,359,3528000,241,1823000
20644,2015,4,1,24.0,510.0,12580.0,15790,1,,1,840000,1,840000
20645,2015,4,1,24.0,510.0,12580.0,1,1,,711,27419000,530,11323000
20646,2015,4,1,24.0,510.0,12580.0,34697,3,,117,1179000,0,0
20647,2015,4,1,24.0,510.0,12580.0,16892,1,,1,1000,1,1000
20648,2015,4,1,24.0,510.0,12580.0,24920,3,,1,250000,1,250000
20649,2015,4,1,24.0,510.0,12580.0,707938,1,,2,1120000,2,1120000
21463,2015,4,6,24.0,510.0,12580.0,57803,3,,78,2685000,0,0
21464,2015,4,6,24.0,510.0,12580.0,13688,1,,11,141000,0,0
21465,2015,4,6,24.0,510.0,12580.0,25079,1,,4,210000,0,0
21466,2015,4,6,24.0,510.0,12580.0,35583,3,,1,61000,1,61000
21467,2015,4,6,24.0,510.0,12580.0,24914,1,,2,239000,0,0
21468,2015,4,6,24.0,510.0,12580.0,57053,3,,1,460000,0,0
21469,2015,4,6,24.0,510.0,12580.0,15576,1,,6,249000,0,0
21470,2015,4,6,24.0,510.0,12580.0,3076248,2,,2,1150000,0,0
21471,2015,4,6,24.0,510.0,12580.0,23253,1,,1,132000,0,0
21472,2015,4,6,24.0,510.0,12580.0,23248,1,,10,178000,0,0
21473,2015,4,6,24.0,510.0,12580.0,1,1,,5,184000,0,0
21675,2015,5,1,24.0,510.0,12580.0,13044,1,,1,7000,1,7000
21676,2015,5,1,24.0,510.0,12580.0,23160,1,,1,9000,0,0
21677,2015,5,1,24.0,510.0,12580.0,715685,1,,1,5000,0,0
21678,2015,5,1,24.0,510.0,12580.0,1316,1,,1,268000,0,0
21679,2015,5,1,24.0,510.0,12580.0,24,1,,1,10000,1,10000
19716,2014,4,1,24.0,510.0,12580.0,31286,3,,36,11187000,26,7700000
19717,2014,4,1,24.0,510.0,12580.0,27471,3,,2,110000,0,0
19718,2014,4,1,24.0,510.0,12580.0,715648,1,,1722,15116000,1088,6913000
19719,2014,4,1,24.0,510.0,12580.0,928618,2,,1,500000,0,0
19720,2014,4,1,24.0,510.0,12580.0,18432,1,,1,170000,1,170000
19721,2014,4,1,24.0,510.0,12580.0,25080,1,,2,32000,1,11000
19722,2014,4,1,24.0,510.0,12580.0,13044,1,,326,21536000,153,5382000
19723,2014,4,1,24.0,510.0,12580.0,718140,1,,17,4756000,7,1045000
19724,2014,4,1,24.0,510.0,12580.0,26610,3,,1,100000,1,100000
19725,2014,4,1,24.0,510.0,12580.0,14583,1,,1,25000,0,0
19726,2014,4,1,24.0,510.0,12580.0,716456,1,,7,289000,4,93000
19727,2014,4,1,24.0,510.0,12580.0,9846,3,,118,15396000,68,4266000
19728,2014,4,1,24.0,510.0,12580.0,11578,3,,2,668000,2,668000
19729,2014,4,1,24.0,510.0,12580.0,57904,3,,1,500000,1,500000
19730,2014,4,1,24.0,510.0,12580.0,24828,1,,1112,4773000,333,1949000
19731,2014,4,1,24.0,510.0,12580.0,13688,1,,12,1086000,6,105000
19732,2014,4,1,24.0,510.0,12580.0,23160,1,,779,7908000,0,0
19733,2014,4,1,24.0,510.0,12580.0,35575,3,,5,432000,0,0
